tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,40.219970000000004,18.00672,341.11, 3 de agosto,Nardò,Puglia,IT,Italia
24h,41.10744,27.42552,367, 3 de agosto,Muratlı,Marmara Bölgesi,TR,Turquía
24h,41.10768,27.43031,341.95, 3 de agosto,Muratlı,Marmara Bölgesi,TR,Turquía
24h,41.10251,27.4267,335.24, 3 de agosto,Muratlı,Marmara Bölgesi,TR,Turquía
24h,41.10799,27.42641,367, 3 de agosto,Muratlı,Marmara Bölgesi,TR,Turquía
24h,40.73803,20.74933,336.01, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.76361,20.7703,367, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.76296,20.76404,354.19, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.7681,20.7759,347.44, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.7668,20.76336,352.37, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.44256,17.91731,337.13, 3 de agosto,San Donaci,Puglia,IT,Italia
24h,40.51719,17.20888,339.21, 3 de agosto,Taranto,Puglia,IT,Italia
24h,40.5496,16.57899,343.86, 3 de agosto,Miglionico,Basilicata,IT,Italia
24h,40.67931,16.75443,341, 3 de agosto,Laterza,Puglia,IT,Italia
24h,40.68199,16.74899,346.06, 3 de agosto,Laterza,Puglia,IT,Italia
24h,39.30708,8.94376,352.63, 3 de agosto,Deximumannu/Decimomannu,Sardigna/Sardegna,IT,Italia
24h,40.68561,16.52895,343.89, 3 de agosto,Matera,Basilicata,IT,Italia
24h,40.69158,16.52272,335.42, 3 de agosto,Matera,Basilicata,IT,Italia
24h,40.93004,17.11325,339.44, 3 de agosto,Conversano,Puglia,IT,Italia
24h,40.93148,17.11443,340.24, 3 de agosto,Conversano,Puglia,IT,Italia
24h,40.86769,16.18325,340.76, 3 de agosto,Genzano di Lucania,Basilicata,IT,Italia
24h,41.31878,19.52303,334.76, 3 de agosto,Bashkia Durrës,Shqipëria Veriore,AL,Albania
24h,41.0144,17.03658,338.11, 3 de agosto,Rutigliano,Puglia,IT,Italia
24h,41.48305,19.66933,342.87, 3 de agosto,Bashkia Krujë,Shqipëria Veriore,AL,Albania
24h,40.80167,14.48052,337.75, 3 de agosto,Terzigno,Campania,IT,Italia
24h,40.99444,15.72058,341.35, 3 de agosto,Rapolla,Basilicata,IT,Italia
24h,41.00238,15.75153,338.36, 3 de agosto,Rapolla,Basilicata,IT,Italia
24h,41.06906,15.95182,341.79, 3 de agosto,Montemilone,Basilicata,IT,Italia
